"#","Reference","Qty","Value","Footprint","DNP"
"1","C201, C202, C203, C204","4","0.1u","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"2","C205, C206","2","15n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"3","C207, C208","2","33n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"4","C209, C210, C211, C212","4","1.5n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"5","C213, C214","2","33u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"6","C301, C305","2","100n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"7","C302, C307, C311","3","4.7n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"8","C303","1","47u","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"9","C304, C312, C315","3","2.2n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"10","C306, C310","2","22n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"11","C308","1","2.7n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"12","C309","1","1n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"13","C313, C314","2","47n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"14","C316","1","10n","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm",""
"15","C317, C419, C420","3","33u","",""
"16","C401, C402, C704, C705","4","10n","",""
"17","C403","1","10u","",""
"18","C404, C406","2","0.47u","",""
"19","C405","1","47u","",""
"20","C407, C408, C701, C702, C703, C706","6","22n","",""
"21","C409, C410, C411, C412, C413, C415, C707","7","1n","",""
"22","C414, C416","2","1.5n","",""
"23","C417, C418","2","470p","",""
"24","C421, C422","2","220p","",""
"25","C708, C709","2","4.7n","",""
"26","C710","1","1u","",""
"27","C711","1","100n","",""
"28","D201, D202, D203, D204, D205, D206, D301, D302, D401, D402, D403, D404, D901","13","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"29","J901","1","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"30","Q201, Q202, Q205, Q206, Q207, Q208, Q209, Q210, Q301, Q303, Q304, Q305, Q401, Q403, Q404, Q406, Q407, Q408, Q409, Q410, Q411, Q412, Q413, Q414, Q701, Q702","26","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"31","Q203, Q204, Q302, Q402, Q405","5","BC557","Package_TO_SOT_THT:TO-92_Inline",""
"32","R201, R202, R219, R220, R221, R222, R227, R228, R301, R307, R325, R328, R401, R402, R414, R417, R444, R445, R707, R708, R709, R710, R711, R712, R720, R1049, R1050, R1051, R1052, R1053, R1054, R1055, R1056, R1057, R1059, R1060, R1061, R1062, R1063, R1064, R1065, R1066, R1067","43","100k","",""
"33","R203, R205, R217, R218, R235, R236, R302, R322, R324, R403, R406, R407, R408, R411, R412, R436, R437, R714, R719","19","22k","",""
"34","R204, R206, R208, R210, R303, R305, R312, R404, R409, R413, R415, R416, R438, R1001, R1002, R1003, R1004, R1007, R1008, R1009, R1010, R1013, R1014, R1015, R1016, R1017, R1018, R1019, R1020, R1025, R1026, R1027, R1028, R1029, R1030, R1031, R1032, R1037, R1038, R1039, R1040, R1041, R1042, R1043, R1044","45","10k","",""
"35","R207, R209, R223, R225, R304, R405, R410, R718","8","4k7","",""
"36","R211, R213","2","8k2","",""
"37","R212, R214, R432, R433","4","2k7","",""
"38","R215, R216, R224, R226, R320, R419","6","1M","",""
"39","R229, R231","2","6k8","",""
"40","R230, R232, R233, R234, R237, R239, R323, R327, R440, R441, R717","11","47k","",""
"41","R238, R240, R329, R442, R443, R715","6","470k","",""
"42","R306, R308, R1058, R1068","4","1k","",""
"43","R309","1","R_US","",""
"44","R310, R316, R421, R428, R429","5","100","",""
"45","R311, R418, R424","3","470","",""
"46","R313, R317","2","15k","",""
"47","R314, R901, R902","3","220","",""
"48","R315, R319","2","680","",""
"49","R318","1","820k","",""
"50","R321","1","2k2","",""
"51","R326, R420","2","27k","",""
"52","R422, R425, R430, R431, R439, R1005, R1006, R1011, R1012, R1021, R1022, R1023, R1024, R1033, R1034, R1035, R1036, R1045, R1046, R1047, R1048","21","33k","",""
"53","R423, R701","2","330k","",""
"54","R426, R427","2","2M","",""
"55","R434, R435","2","68k","",""
"56","R702","1","270k","",""
"57","R703","1","220k","",""
"58","R704","1","680k","",""
"59","R705, R706","2","560k","",""
"60","R716","1","560","",""
"61","RV201, RV202","2","1M","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"62","RV203, RV204","2","500k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"63","RV301, RV1009, RV1010","3","100k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"64","RV302, RV303, RV801, RV802, RV803, RV804, RV805, RV806, RV807, RV808, RV1001, RV1002, RV1003, RV1004, RV1005, RV1006, RV1007, RV1008","18","10k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"65","RV401","1","2M","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"66","U201, U301, U401, U1001, U1002, U1003, U1004, U1005","8","TL074","Package_DIP:DIP-14_W7.62mm",""
"67","U701","1","40106","Package_DIP:DIP-14_W7.62mm",""
"68","U702","1","TL072","Package_DIP:DIP-8_W7.62mm",""
"69","U801, U802, U803, U804","4","74HC165","Package_DIP:DIP-16_W7.62mm",""
"70","U805","1","74HC595","Package_DIP:DIP-16_W7.62mm",""
"71","U806","1","ESP32-S3-DevKitC","Espressif:ESP32-S3-DevKitC",""
"72","U807","1","MAX9357A","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"73","U808, U809, U810, U811","4","MCP42010","Package_DIP:DIP-14_W7.62mm",""
"74","U901","1","6N138","Package_DIP:DIP-8_W7.62mm",""
